Title;Note;Description;Éditeur;Date de publication;Nombre de pages
@Ellie Vol. 6;9.13/10;Eriko Ichimura, alias Ellie, aime murmurer des fantasmes à propos du plus beau garçon de sa promo, Akira Ômi. Après avoir passé Noël et le premier jour de l'année ensemble, les deux ados forment désormais un vrai couple d'amoureux. Ellie est donc sur son petit nuage, elle utilise son smartphone en plein cours et se le fait confisquer par un professeur. Punie, elle doit accomplir des tâches avec Kaname, un garçon de sa classe. À cause d'une réaction déplacée, mais involontaire de Kaname, Ellie est blessée. Et Kaname lui demande alors d'être son amie…;; Kana (Shojo); 13/03/2018
@Ellie Vol. 7;9.2/10;Eriko Ichimura, alias Ellie, une fille obsédée qui aime fantasmer, sort avec le plus beau garçon de sa promo, Akira Ômi. Cependant, un camarade de classe, Kaname, s'intéresse à elle et tente une approche en lui demandant de devenir son amie. À cause de lui, Ellie se dispute avec Sara et Ômi est jaloux... Quant à Kaname, il s'éveille à l'amour et fait une déclaration explosive à Ellie...?!;; Kana (Shojo); 09/08/2018
@Ellie Vol. 8;9.43/10;Eriko Ichimura, alias Ellie, qui n'arrête pas de fantasmer, et le plus beau garçon de la promo, Akira Ômi, sortent ensemble en secret et sont de plus en plus amoureux. Kaname, un garçon de la classe d'Ellie, s'intéresse à elle et finit par tomber amoureux. Mais, au contact du lien profond qui unit Ellie et Ômi, il choisit de n'être qu'un « ami » après avoir fait sa déclaration d'amour à la jeune fille. De son côté, Ômi, jaloux de Kaname, part en roue libre ! Il réclame à sa petite-amie du « spécial » et lui donne un baiser comme il ne l'avait jamais fait auparavant...;; Kana (Shojo); 11/01/2019
@Ellie Vol. 9;9.57/10;Ellie, une fille dont le hobby est de tweeter ses fantasmes, et Ômi, le plus beau garçon de la promo, sortent ensemble. Ils sont si amoureux qu'ils décident de s'afficher publiquement au lycée. Mais, un jour, le père d'Ellie les surprend en train de s'embrasser et s'oppose à leur relation. Ellie se dispute alors fort avec son père, mais, encouragée par Ômi, elle finit par se réconcilier avec lui. De plus, Ômi fait part de son projet de mariage à la famille d'Ellie ?! Comment va-t-elle réagir à cet événement inattendu ?;; Kana (Shojo); 13/06/2019
@Ellie Vol. 10;9.5/10;Ellie, une fille dont le hobby est de tweeter ses fantasmes, et Ômi, le plus beau garçon de la promo, sortent ensemble ! Libérés des pensées érotiques qui les assaillaient, ils approfondissent leurs liens. Mais Ômi réussit les présélections d'un « concours de lycéens » ! De son côté, Ellie accepte d'être responsable de la fête du sport pour sa classe et ses journées sont bien remplies. Quand Sara vient au concours des lycéens, elle se retrouve nez à nez avec Reo et Ayaka ?!;; Kana (Shojo); 13/11/2019
@Ellie Vol. 11;9.38/10;Ellie, une fille dont le hobby est de tweeter ses fantasmes, et Ômi, le plus beau garçon de la promo, sortent ensemble ! Pour mettre un terme à l'escalade des commentaires à propos d'Ômi et de sa petite-amie sur les réseaux sociaux à propos du concours des lycéens, Ellie ment et dit qu'elle ne sort pas avec Ômi. Une très mauvaise ambiance s'installe entre eux... De son côté, influencée par Ayaka, Sara décide d'avouer son amour à Reo et se rend sur le lieu de travail du jeune homme, accompagnée d'Ellie. Cette dernière va tomber nez à nez avec Ômi !;; Kana (Shojo); 13/05/2020
@Ellie Vol. 12;9.22/10;Ellie, une lycéenne discrète qui adore fantasmer, sort avec Ômi, le plus beau garçon de la promo. Après de nombreuses péripéties, ils se réconcilient et sont super amoureux. Mais la finale du concours des lycéens tombe le même jour que la fête du sport ! Ômi abandonne son concours et accourt auprès d'Ellie, qui doit faire face à une situation d'urgence à la fête du sport. Cette dernière se termine tant bien que mal, au grand soulagement d'Ellie. Ômi l'invite alors à venir chez lui...  Deux histoires annexes pleines d'amour en supplément ! Le dernier tome de l'amour peu ordinaire d'une perverse discrète.;; Kana (Shojo); 13/10/2020
/Blush-DC - Himitsu Vol. 1;7.4/10;Akiyoshi est un étudiant comme un autre. Il suit des cours du soir, sort avec ses amis et fait ce que font les garçons de son âge : draguer les filles. Un jour, une fille, Iwashita Ayane, attire son attention pendant les cours, car il remarque son ongle rouge. Plus tard, en ville, il verra un visage familier et la suivra jusqu'à l'entrée d'un Image Club, genre de lupanar spécialisé dans le cosplay. En outre, une des filles travaillant là s'appelle Ayane. Qu'est-ce que cela veut dire et que va faire Wataru ?;; Green Arrow Shuppansha, Shueisha; 530 ¥
/Blush-DC - Himitsu Vol. 2;8/10;Akiyoshi a le sentiment que cette aventure secrète avec Iwashita n'est qu'un début. Il espère qu'elle se rapprochera encore de lui, pour recommencer. Cependant, Ayane a l'air en bien triste état et serait apparemment impliqué dans quelques histoires judiciaires...;; Green Arrow Shuppansha, Shueisha; 530 ¥
/Blush-DC - Himitsu Vol. 3;8/10;Depuis qu'il connait Ayane, Akiyoshi n'a d'yeux que pour elle. Elle l'obsède. Un jour, Iwashita s'écroule au beau milieu d'un magasin, et est transportée à l'hôpital. Akiyoshi ne rate pas cette occasion pour s'occuper d'elle et rester à ses côtés jour et nuit.;; Green Arrow Shuppansha, Shueisha; 530 ¥
/Blush-DC - Himitsu Vol. 4;-/10;N/C;; Green Arrow Shuppansha, Shueisha; 660 ¥
/Blush-DC - Himitsu Vol. 5;-/10;N/C;; Green Arrow Shuppansha, Shueisha; 660 ¥
/Blush-DC - Himitsu Vol. 6;-/10;N/C;; Green Arrow Shuppansha, Shueisha; 660 ¥
/Blush-DC - Himitsu Vol. 7;-/10;N/C;; Green Arrow Shuppansha, Shueisha; 715 ¥
