Title;Note;Description;Éditeur;Date de publication;Nombre de pages
20th Century Boys Vol. 18;9.41/10;Loin de Tokyo, à la frontière nord, un homme est arrivé. Plus au nord, toute la population a été décimée, mais lui est arrivé à la frontière sur sa mobylette avec une guitare sur le dos. Il se fait appelé Joe Yabuki. Qui est-il ? Comment a-t-il pu survivre ? Est-ce un messie ou un fou ? Dieu seul le sait.;; Panini (Manga); 28/02/2005
20th Century Boys Vol. 19;9.35/10;L'homme à la guitare file vers Tokyo. Il arrive au mur d'enceinte de la ville. Tant de gens sont arrêtés et assassinés pour avoir tenté de la franchir sans laissez-passer. Tant de corps sont transportés et enterrés. Qui pourra changer tout ça ? Qui pourra passer la barrière ? Qui attend au bout du chemin ? Il est revenu...;; Panini (Manga); 30/06/2005
20th Century Boys Vol. 20;9.47/10;Avant de partir tuer Ami, Kanna rend visite à Yukiji sur le point de fermer son dojo. En apprenant les projets de celle qu'elle a élevée, Yukiji annonce à cette dernière qu'avant de la laisser partir elle doit lui présenter quelqu'un. Pendant ce temps, Maruo parvient enfin à retrouver la trace de Kiriko.;; Panini (Manga); 28/10/2005
20th Century Boys Vol. 21;9.28/10;"À Rome, le père Nitani cherche à joindre le Pape désormais prisonnier du Vatican. Pendant ce temps, Ami est sur le point de mettre sa dernière ""prédiction"" à exécution. Kenji, quant à lui, poursuit sa marche sur Tokyo alors que Kanna et les autres se préparent à passer à la contre-offensive.";; Panini (Manga); 28/02/2006
20th Century Boys Vol. 22;9.11/10;Les compagnons de Kenji sont désormais réunis. Kanna est sur le pied de guerre alors qu'Ami met à exécution sa dernière prédiction. Une nouvelle fois les sinistres soucoupes volantes apparaissent dans le ciel de Tokyo.;; Panini (Manga); 30/11/2006
21st Century Boys Vol. 1;8.63/10;La guerre est finie, Ami est mort. L'humanité est libérée du danger de l'extermination et la paix règne enfin sur Tokyo... en apparence. Mais la mystère persiste. Personne ne sait qui était Ami ni d'où il venait. Le seul indice est profondément enfoui dans la mémoire de Kenji, le héros.  L'heure est venue d'ouvrir la boîte de Pandore et de voir ce qui s'y cache.;; Panini (Manga); 30/05/2007
21st Century Boys Vol. 2;9.38/10;L'histoire atteint enfin son paroxysme ! L'humanité doit faire face à une crise. Kenji s'ingénie à sauver le monde et ceux qu'il aime.  Il doit aussi découvrir qui était réellement Ami et comment il est devenu un monstre. La réponse se trouve dans le passé, quand Kenji était un garçon du vingtième siècle.;; Panini (Manga); 28/09/2007
22-26 Vol. 1;8.83/10;Dans la continuité de 17-21, découvrez de nouvelles histoires courtes dessinées entre ses 22 et 26 ans par Tatsuki Fujimoto, l'auteur de Chainsaw Man.  Ambiance kafkaïenne, légèreté d'un quotidien glissant vers le surnaturel, exploration de la frontière entre sexualité et violence, fascination et répulsion... Ici, le style du mangaka s'affine pour composer des récits poignants où le drame menace d'éclater sur chaque planche. Autant de nouvelles dans lesquelles se devinent les prémices de chefs-d'œuvre à venir !;; Crunchyroll, Kazé; 04/11/2021
22/7 +α Vol. 1;-/10;L'histoire suit Reika Satô, Jun Toda, Sakura Fujima, Akane Maruyama, Miyako Kôno, Nicole Saitô, Miu Takigawa et Ayaka Tachikawa qui sont des lycéennes, mais également des idols et forment le groupe 22/7 (ou Nanabun no Nijyuuni).;; Shogakukan; 660 ¥
22/7 +α Vol. 2;-/10;N/C;; Shogakukan; 660 ¥
23:00 Vol. 1;-/10;Midori vient de commencer le lycée et ne s'intéresse pas aux garçons. Elle pense qu'ils sont tous comme son frère, Takeshi, qui est impoli et gâté. Sa façon de penser change lorsqu'un de ses camarades de classe est entraîné dans l'équipe de danse de rue dirigée par Takeshi et son meilleur ami, Sutou.  À première vue, Higa peut sembler être un gars simple et calme, mais quand la musique commence à jouer et que son corps commence à bouger, il se transforme en une personne complètement différente... Même Midori ne peut détourner les yeux de lui.; Hakusensha; 2002; N&B
24 histoires d'un temps lointain Vol. 1;7.75/10;Leiji Matsumoto, après nous avoir fait rêver avec « Albator », le célèbre pirate de l'espace. Découvrez la genèse de l'univers Matsumoto, dans ce recueil de 24 histoires centré sur le thème du temps ! On y retrouve déjà toute la magie et la maestria de ce maître du manga !;; Kana (Sensei); 01/03/1998
24-ku no Hanako-san Vol. 1;-/10;Il y a 7 ans, un étrange phénomène s'est produit. En effet, un espace unique est soudainement apparu à Tokyo, communément appelé le 24ème quartier. Ici, les lois de la réalité sont déformées et plusieurs personnes ont disparues. Désormais, cette zone est interdite. Kōsuke se rend souvent dans le 24ème quartier à la recherche de son petit frère disparu, Yusuke. Dans cette zone, Kōsuke croise Hanako, une fille de son école, cette dernière semble bien connaître la zone et le petit frère de Kōsuke, qu'est-ce que le 24ème quartier et qui est réellement Hanako ?;; Akita Shoten; 693 ¥
24-ku no Hanako-san Vol. 2;-/10;N/C;; Akita Shoten; 693 ¥
24-ku no Hanako-san Vol. 3;-/10;N/C;; Akita Shoten; 693 ¥
24-ku no Hanako-san Vol. 4;-/10;N/C;; Akita Shoten; 748 ¥
25 histoires d'un monde en 4 dimensions Vol. 1;6/10;Toujours dans un environnement intersidéral, on y retrouve les thèmes chers à l'auteur et qui forment la base de toute son œuvre : la défense de la nature, la lutte pour la vie, l'ouverture aux autres, les failles de l'être humain ! On y retrouve déjà toute la magie et la maestria de ce maître du manga et permet de contempler l'évolution de son travail à travers le temps (et l'espace) !;; Kana (Sensei); 16/09/1995
25-ji no Ghost Writer Vol. 1;8/10;Higurashi Tsugumi a perdu ses parents et sa bonne dans un incendie alors qu'il était encore jeune. Il a maintenant 15 ans et est un nouvel écrivain prometteur. Cependant, il est atteint du syndrome de la page blanche depuis un an. Incapable d'écrire, il décide de retourner dans son ancienne maison familiale afin de s'inspirer, en se remémorant son passé heureux. À sa grande surprise, il est accueilli par une chose inattendue de son enfance ...;; Square Enix; 660 ¥
25-ji no Ghost Writer Vol. 2;7/10;N/C;; Square Enix; 660 ¥
25-ji no Ghost Writer Vol. 3;7/10;N/C;; Square Enix; 680 ¥
25-ji no Vacances - Ichikawa Haruko Works Collection Vol. 1;2/10;Deuxième recueil de Haruko Ichikawa contenant trois histoires :  Vacation at 25 o'clock (25時のバカンス), où Nishi Otome, qui travaille pour le Deep Sea Biosphere Laboratory, retrouve son frère Kotaro après de longues vacances At Pandora (パンドラにて), un échange entre Nana et un étrange élève de première année d'une école située sur le satellite de saturne Month Funeral (月の葬式); Kodansha; 23/09/2011; N&B
27-sai - Atashi, Koi ga, Shitai. Vol. 1;-/10;Endô Asako a enfin obtenu tout ce qu'elle veut dans sa vie : une situation stable, un petit ami idéal et l'emploi de ses rêves : Être infirmière. Mais alors qu'il ne semblait plus rien manquer à son bonheur, voici que Hayashida Sô son ancien petit-ami réapparait...; Shogakukan; 08/02/2013; 192
27-sai no Nyuugan Diary - Boku no Miki-chan ga Nyuugan ni natta Hanashi Vol. 1;-/10;27-sai no Nyuugan Diary est un manga auto-biographique dans lequel l'ex-idol Miki Yataka, membre du groupe japonais SKE48, raconte son combat contre le cancer du sein, qui lui a été diagnostiqué en 2017.; Kodansha; 14/10/2020; 192
29 to JK Vol. 1;10/10;Eiji Yariba, un jeune homme de 29 ans aux yeux intimidants, passe son temps à jouer aux jeux vidéo, à lire des mangas et à se détendre dans des cybercafés. Un jour, le voilà qui tombe sur une lycéenne de 15 ans nommée Karen Minamisato, et finit par la réprimander. Mais il ne s'attendait pas à ce que cela attire cette dernière à lui ! Et pour couronner le tout, la petite sœur de notre héros encore au collège, une amie d'enfance qui s'avère être également son ex, ainsi que sa subordonnée s'intéressent également à lui ! Désormais obligé de jongler entre son travail et ses prétendantes, Eiji parviendra-t-il à retrouver ses jours paisibles ?;; Square Enix; 628 ¥
29 to JK Vol. 2;-/10;"Eiji a été chargé d'encadrer Karen, une jeune fille de 15 ans dont il a été ordonné par ""ordre professionnel"" d'aider à faire ses débuts en tant que romancière après que cette dernière ait finalement décidé de s'orienter vers ce métier. D'autre part, une autre ""tâche"" de grande envergure est sur le point de commencer au sein l'entreprise...";; Square Enix; 628 ¥
29 to JK Vol. 3;-/10;"Le centre d'appel Hachioji, où travaille Eji, a décidé de lancer le ""Big Bang Project"", une opération d'acquisition de clients qui ne tient clairement pas compte de la situation chaotique sur le terrain. La fatigue s'installe et Eji est épuisé, se retrouvant avec toujours plus de tâches. Ses subordonnés, son ex-petite amie et sa sœur le soutiennent dans son combat désespéré... Mais ce qui fait jaillir son esprit combatif, c'est bien l'enthousiasme de sa ""petite amie"" Karen. Seront-ils en mesure de mener à bien le projet ?";; Square Enix; 628 ¥
29 to JK Vol. 4;-/10;"Un ""scandale sur la fuite d'informations de clients"" de la société a fait surface, et son patron, qui a été muté à l'entreprise pour enquêter sur la fuite, fait éclater une nouvelle tempête au sein des employés.  Chasseurs de têtes, ex-petites amies, écolières, jeunes sœurs, son propre président... Eji se défend au quotidien contre toutes sortes de choses. Mais un jour, son subordonné, Watarase, lui demande conseil.";; Square Enix; 628 ¥
29 to JK Vol. 5;-/10;Eiji souffre d'un conflit avec son patron pendant que Karen, elle aussi, a des difficultés dans son parcours pour devenir romancière. C'est donc le moment parfait pour eux de s'accorder un peu de repos et de partir en voyage ensemble.;; Square Enix; 628 ¥
29 to JK Vol. 6;-/10;Le voyage n'a pas duré longtemps, mais Eiji est à présent décidé à prendre les choses en main. Le temps presse, et il a bien l'intention de faire éclater la vérité, que ce soit concernant le scandale de son entreprise ou les accusations qui sont faites à son sujet. Il est enfin temps de régler tout cela !;; Square Enix; 628 ¥
29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta. Vol. 1;-/10;Taishi est un jeune homme de 29 ans toujours célibataire. Un jour, il se réveille dans un autre monde. Alors qu'il souhaite recommencer sa vie et repartir de zéro, il se retrouve contraint d'épouser une femme. Et comme si ça ne suffisait pas, le royaume dans lequel il se trouve ne voit pas d'un bon œil la présence de Taishi.  Malgré toutes les difficultés qui vont se mettre en travers du chemin de Taishi, ce dernier est bien décidé à vivre.;; Kadokawa Shoten; 704 ¥
29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta. Vol. 2;-/10;N/C;; Kadokawa Shoten; 704 ¥
29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta. Vol. 3;-/10;N/C;; Kadokawa Shoten; 704 ¥
29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta. Vol. 4;-/10;N/C;; Kadokawa Shoten; 704 ¥
29-sai Dokushin wa Isekai de Jiyuu ni Ikita......katta. Vol. 5;-/10;N/C;; Kadokawa Shoten; 704 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 1;-/10;Shinonome Hajime, aventurier de Silver Range, est voué à l'accomplissement des missions de la guilde. Un jour, alors qu'il termine une quête, il trouve dans un cachot une étrange fille nommée Lily qui lui cause bien plus de problèmes qu'elle n'en vaut la peine. En sauvant la fille d'une mort certaine, son histoire lui rappelle son passé similaire et il la prend sous sa garde ...;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 2;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 3;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 4;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 5;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 6;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 7;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 8;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 9;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 10;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 11;-/10;N/C;; Kodansha; 495 ¥
29-sai Hitorimi Chuuken Boukensha no Nichijou Vol. 12;-/10;N/C;; Kodansha; 495 ¥
2nd love - Once upon a lie Vol. 1;8.25/10;Sumi, 28 ans, est amoureuse de Natsuki depuis dix ans sans jamais avoir osé lui avouer ses sentiments. Un jour, pour récompenser, le travail de ses employées, sa patronne ouvre une cantine d'entreprise plutôt originale : le service est assuré par de jeunes et beaux garçons... Sumi apprend que Satsuki, un membre du staff, n'est autre que le petit frère de son amour de jeunesse! Et lorsque Natsuki invite innocemment à son propre mariage une Sumi médusée, ce serveur impertinent lui fait une proposition pour le moins indécente...;; Kazé (Shôjo); 08/04/2011
2nd love - Once upon a lie Vol. 2;8.48/10;Estimant incorrect de sa part de trop compter sur lui, Sumi a préféré mettre fin au simulacre de couple qu'elle jouait avec Satsuki. Mais si le jeune homme parut mécontent de cette rupture le soir-même, le voilà qui, dès le lendemain, agit comme à son habitude et lui témoigne la plus grande indifférence. Cependant, Sumi le surprend en train de la regarder. Déstabilisée par ce comportement ambigu, la jeune femme en vient à s'interroger sur les véritables sentiments de Satsuki à son égard ainsi que sur les siens…;; Kazé (Shôjo); 10/08/2011
2nd love - Once upon a lie Vol. 3;8.52/10;Enfin devenu un vrai couple, nos deux tourtereaux profitent de leur premier rendez-vous à la mer pour roucouler. Mais voilà que sur le chemin du retour, ils aperçoivent Kana au bras d'un autre homme. Alors que Satsuki ne semble pas s'en offusquer, Sumi, quant à elle, est perturbée par le comportement volage de sa rivale, et ne se gêne pas pour l'interroger, une fois de retour au bureau. Ignorante en amour, Sumi était loin de s'imaginer que tout ceci faisait partie d'un stratagème et que la jeune femme est bien déterminée à lui voler Satsuki…;; Kazé (Shôjo); 10/01/2012
2nd love - Once upon a lie Vol. 4;8.52/10;"La relation entre Sumi et Satsuki a franchi un cap, et la jeune femme, comme toute ""Mademoiselle marc de thé"" qui se respecte, n'arrive plus à regarder son amoureux en face sans être gênée. Ce dernier en est d'ailleurs bien conscient puisqu'il profite de la moindre occasion pour la plonger dans l'embarras. Ce qui n'échappe pas à l'œil avisé de Seiji qui place lentement mais sûrement ses propres pions. De son côté, Kana décroche son transfert de service pour se rapprocher davantage de sa concurrente. Sumi va bientôt apprendre qu'il est parfois difficile de concilier amour et travail…";; Kazé (Shôjo); 10/05/2012
2nd love - Once upon a lie Vol. 5;8.7/10;"Entre son père qui désapprouve sa relation avec Satsuki et ce dernier qui devient son collègue à part entière, Sumi ne sait plus où donner de la tête et tente de trouver des solutions pour gérer ces deux situations. Bien que toutes les filles du bureau s'accordent à lui dire que les changements sont source de rupture, notre ""mademoiselle marc de thé"" impose à son amant des règles strictes pour ne pas mélanger travail et vie privée. En parallèle, elle multiplie les visites chez ses parents pour obtenir la bénédiction de son père… Mais attristée par une énième tentative ratée, Sumi tombe en pleurs dans les bras de Seiji…";; Kazé (Shôjo); 09/11/2012
3 Grammes Vol. 1;10/10;Alors qu'elle n'a que vingt-six ans, Shin Ji Su (illustratrice connue notamment sous le pseudonyme Jisue Shin), inquiétée par son ventre qui semble anormalement gros, se rend chez son médecin. Là, elle apprend qu'elle souffre d'un cancer aux ovaires. Forcée à des traitements longs et douloureux, elle passe alors un séjour à l'hôpital de sa ville afin de se faire soigner...  Dans cette œuvre touchante, l'illustratrice raconte sans pudeur sa lutte contre la maladie et l'éloignement de ses proches.;; Cambourakis; 11/04/2012
3-byou, Sude ni Koi Vol. 1;8/10;Seulement 3 secondes sont suffisantes pour que l'amour naisse. Ena, une douce et innocente jeune fille, ne s'attendait pas à voir sa vie de lycéenne chamboulée par l'arrivée de son premier amour, soit son ex petit-ami Katashi. Elle qui pensait en avoir fini avec lui, après une rupture douloureuse, elle va vite se rendre compte qu'elle se leurrait. Mais certaines révélations font surface, ce qui pourrait rendre la tâche un peu plus difficile...; Shogakukan; 25/09/2015; 181
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 1;-/10;3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai est un spin-off de la série 3-gatsu no Lion (March comes in like a lion) de Chica Umino.  L'histoire se déroule au Japon durant l'ère Shōwa, plus précisément en 1969. On y suit le quotidien de Takanori Jingūji, alors âgé de 27 ans. À cette époque, il devient le président de l'Association de Shōgi mais également le grand maître que l'on connaît aujourd'hui.;; Hakusensha; 660 ¥
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 2;-/10;"Il y a trois ans, une bataille de maître a changé le destin de notre héros. Comment Jingūji est-il tombé dans le marais ? Un mystérieux adversaire à vaincre surnommé ""le monstre du shogi""de son vrai nom Maître Tanaka, fait son apparition... Où cela le mènera-t-il ?";; Hakusensha; 660 ¥
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 3;-/10;Un supposé frère, nommé Yamanami, dont l'entraînement secret de Jingūji n'est pas inconnu, apparaît. Yamanami montre des talents autres que le shogi, mais si sa relation avec Jingūji était vraiment réelle ?;; Hakusensha; 660 ¥
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 4;-/10;"""Par contre, je me sens à l'aise dans la vie quotidienne, je me sens calme avec la mère et l'enfant de Kaori et Rumi"".  Hanayama, un ancien épéiste sérieux, est apparu devant le temple de Jingūji...";; Hakusensha; 660 ¥
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 5;-/10;"Le but étant de renverser le temple ""Shogi no Monogatari"", Jingūji, avec le maître Tanaka à l'esprit, pousse en avant le shogi. Tsukasa Jingu, qui conçoit un plan secret pour Ranging Rook of Master Tanaka, joue contre Koyama, un utilisateur sérieux de la tour...";; Hakusensha; 660 ¥
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 6;-/10;"Renverser le temple ""Shogi no Monogatari"", Jinguji, avec le maître Tanaka à l'esprit, pousse en avant avec le shogi. Le romancier à succès Tomiko Iwasaki voit la possibilité de changer l'ère en Jinguji ! Et le temps a passé, et Jinguji est de retour dans la ligue de classe A. En avant pour défiez les monstres des joueurs de Go !";; Hakusensha; 660 ¥
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 7;-/10;Jinguuji, traverse une époque chaude avec un maître du renversement ! Joueur de jeu de la classe A, il défie le jeu artistique du joueur Saito 7-dan et du légendaire joueur de pari et 4e talentueux, maître Motomura!  Hideaki Nishikawa nous dépeint le monde d'un coup de crayon passionné, un record de jeu avec des étincelles !;; Hakusensha; 660 ¥
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 8;-/10;Bataille de rang de classe A, la seconde moitié du jeu commence ! Un joueur de classe, Kuroda Hachidan défie le maître Tanaka !;; Hakusensha; 660 ¥
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 9;-/10;N/C;; Hakusensha; 660 ¥
3-gatsu no Lion Shouwa Ibun - Shakunetsu no Jidai Vol. 10;-/10;N/C;; Hakusensha; 660 ¥
3-Nenme no Full Name Vol. 1;-/10;Il y a trois ans, alors qu'Ayu était en troisième année de collège et membre du comité de l'école, elle écrivait chaque jour au tableau le nom de Takashi Isomura, un élève qui n'était pas venu à l'école depuis un an. Personne ne savait qui il était jusqu'à ce qu'il soit diplômé et oublié, mais il était toujours là dans le cœur d'Ayu.  Un jour, désormais en deuxième année de lycée, Ayu découvre qu'il y a un autre garçon nommé Takashi Isomura qui est en première année dans le même lycée qu'elle...; Shueisha; 01/02/1981; 187
3, rue des mystères et autres histoires Vol. 1;-/10;Fidèle à la culture populaire des yokai (esprits), l'auteur invite son lecteur à la découverte de ces créatures, enseignant par la même occasion que l'homme doit accepter sa destinée, avec pour lot de consolation que la mort est sans doute après la vie le plus beau cadeau que lui ont fait les dieux...  * 3, rue des Mystéres * La Porte de l'univers * L'Ambroisie féline * Moulin à yôkaï * Les Crânes de l'oubli * La Fille du dernier train * Monstres Machikomi;; Cornélius (Cornelius - Paul); 15.50 €
3, rue des mystères et autres histoires Vol. 2;-/10;Ce deuxième volume de 3 Rue des Mystères nous fait goûter à la veine effrayante de Mizuki, achevant de présenter au public français ce dieu vivant du manga, qui entend bien dessiner encore jusqu'à 110 ans avant de pouvoir, à son tour, devenir un yôkaï.  * Les premiers grains de riz * Les insectes extra-terrestres * Nekomata, le chat mutant * Le gamin de la télé * L'héritage * L'histoire de l'ile * Animalus economicus * Une foule monstre * La boule de cristal * Un avenir porteur d'espoir * Le combat d'une vie;; Cornélius (Cornelius - Paul); 15.50 €
3×3 EYES Vol. 1;7.67/10;1987, un soir, Yakumo, jeune habitant de Tokyo, rencontre Paï. Elle est porteuse d'un message du père de Yakumo disparu en 1983 au Tibet. Dans ce courrier, Yakumo apprend que Paï est la dernière survivante d'une race mystérieuse, dotée de pouvoirs surnaturels, et qu'il doit l'aider à se transformer en être humain. Commence alors une fantastique aventure pour les deux héros...;; Pika (Shonen); 17/10/1988
3×3 EYES Vol. 2;7.25/10;"Sans mal, Yakumo parvient à sauver Paï du monstre qui l'avait enlevé. Ils font ensuite la connaissance de Meishi, une jeune chinoise dont le frère aîné, un exorciste a été enlevé par des hommes voulant réunir les morceaux de la statue des hommes. Yakumo et Paï repartent pour de nouvelles aventures, et parviennent finalement à sauver Steve Long, l'exorciste et Meishi mais un intrus fait son apparition...un autre ""wu"" qui plus est beaucoup plus puissant que Yakumo...";; Pika (Shonen); 17/05/1989
3×3 EYES Vol. 3;7.67/10;Yakumo, après quatre longues années de recherche, retrouve Paï mais elle a perdu la mémoire et ne sait pas qui elle est! Il faudra attendre que des marionnettes maléfiques s'en prennent à Paï pour que le sajiyan se délivre des scellés qui le retenait prisonnier, mais au grand désespoir de Yakumo, lui aussi est amnésique...;; Pika (Shonen); 17/10/1989
3×3 EYES Vol. 4;6.8/10;Paï et Yakumo partent à la recherche d'un objet, un brûleur d'encens permettant d'accéder à la terre sainte, la terre des sajiyans. Yakumo veut y emmener Paï dans l'espoir que là bas, elle retrouve la mémoire. Mais au moment d'acheter le fameux objet, un individu, Mc Donald fait apparition et tente de racheter l'objet. Un troisième protagoniste fait intrusion et les attaque. Cet homme, ce démon est Chokaï, chargé par Benarès lui même de protéger le lieu où le Kaiyanwan a été enfermé, et pour ce faire, il détruit tout les objets portant le signe des 3 yeux, il est accompagné par un redoutable démon, Hongan.;; Pika (Shonen); 17/02/1990
3×3 EYES Vol. 5;7.5/10;Paï est la dernière survivante des Sanjiyans, une race aujourd'hui disparue. Elle détient en elle le secret de l'immortalité. De sa vie antérieure, elle n'a que de vagues souvenirs. Son combat avec Kaïyan-Wan, la destruction de sa race et son parcours jusqu'à aujourd'hui, restent encore mystérieux. Accompagnée par Yakumo, un jeune Tokyoïte qui est devenu par amour pour elle une sorte d'ange gardien aux pouvoirs mystiques, elle part au Tibet à la recherche de la terre sainte où elle pourra retrouver la mémoire et sa vraie personnalité. Aidés par un aventurier au grand cœur, nos deux héros arrivent dans un monastère Tibétain proche de la terre sainte, les moins semblent prêts à les aider, malheureusement un traître s'est glissé parmi eux, il assassine le moine supérieur et...;; Pika (Shonen); 17/06/1990
3×3 EYES Vol. 6;7/10;Yakumo tente de refaire sa vie, seul, Paï étant restée en terre sainte. C'est alors qu'un monstre nommé Tassoeï attaque la ville de Tokyo et libère des sauterelles par milliers. Yakumo se met en travers de leur chemin et c'est alors que Paï vient l'aider! Elle lui apprend que Tassoeï est en train de se réveiller et qu'il faut l'éliminer avant qu'il ne soit vraiment actif. Tassoeï prend alors le contrôle d'une amie à Yakumo et attaque ce dernier. Paï et Yakumo au terme d'un dur combat enferment Tassoeï et libèrent la possédée.;; Pika (Shonen); 06/11/1990
3×3 EYES Vol. 7;7/10;Mme Hoang, toujours dans son espoir de contrôler Paï, lui offre un collier magique qui empêche la sajiyan de sortir. Mais alors qu'ils sont en avion, ils se font tous trois attaquer par des inconnus et Paï est enlevée par un monstre, Shun Lee Hoang tente de la sauver... Yakumo attaque la mystérieuse femme qui se dit représenter le clan Hyoma mais il est brûlé vif et l'avion se crash, causant de terribles pertes. Yakumo se réveille à l'hôpital et est retrouvé par Yotsuya, le journaliste à la recherche de Paï.;; Pika (Shonen); 06/03/1991
3×3 EYES Vol. 8;7/10;Yakumo délivre Paï et affronte Garuga, mais celui ci, vaincu va fusionner avec un monstre gigantesque. Gupta et Yakumo tentent de le combattre mais il est trop fort. Il faudra attendre le réveil de la sajiyan, une fois le collier brisé, pour que Garuga périsse. Kinkara, le mystérieux informateur, est libéré du joug de son maître et prend Garuga avec lui et repart. Gupta est nommée reine du clan Hyoma et jure allégeance à la sajiyan. On apprend que Yakumo avait l'intention de retrouver un morceau de la pierre sacrée là où était enfermé le Kaiyawan pour apprendre la façon de redevenir humain grâce à un sort . Les Hyoma se chargent de retrouver un fragment de la pierre.;; Pika (Shonen); 06/06/1991
3×3 EYES Vol. 9;7/10;Yakumo ne parvient pas à sauver la vie de Putti et son excursion se solde par un échec... De retour à Tokyo, Khan, plein de vengeance pour Yakumo rencontre l'âme du monstre abattu dans le volume 3. Ce monstre veut tuer Parvati et, trompant Khan, parvient presque à ses fins...Yakumo arrive et règle le problème.;; Pika (Shonen); 06/09/1991
3×3 EYES Vol. 10;7/10;Paï tombe sous le charme du Kayanwan et tombe dans un coma magique. Yakumo et Khan s'introduisent dans sa conscience pour tenter de la réveiller à l'intérieur du monde duquel est prisonnière. Ce monde recrée la triste histoire de Shiva, ce sajiyan à la base gentil qui a reçu un pouvoir qui ne lui était pas destiné et qui est devenu le sajiyan le plus puissant.;; Pika (Shonen); 09/01/1992
3×3 EYES Vol. 11;7/10;Ce volume termine la petite histoire du monde intérieur de Paï en beauté par le réveil de la sajiyan. La veuve Hoang se révèle juste à ce réveil, et tente d'assujettir la sajiyan. Mais Yakumo s'oppose à la fureur de la veuve. Finalement, Benarès se révèle être Kinkara et manque de percer l'âme de Yakumo. Mais contre toute attente, la veuve sauve la vie de son protégé au péril de la sienne... On apprend que Bénarès est vivant et que donc, le Kayanwan l'est aussi...;; Pika (Shonen); 06/04/1992
3×3 EYES Vol. 12;7/10;Après une transition bien sympathique, l'occasion de revoir Nastuko, une ancienne amie de Yakumo, on entre ensuite dans le vif du sujet. Yoko alias Hoashio, est en train, sous l'influence maléfique des sbires de Bénarès, de retrouver sa mémoire et son corps de monstre. Paï et Yakumo veulent la sauver de sa propre destruction. Mais elle est manipulée par Spazugu qui tente d'attirer Yakumo dans un piège. Heureusement, Hoashio, contre toute attente, retrouve la mémoire à la suite d'une attaque et se libère du sort. Spazugu s'enfuit.;; Pika (Shonen); 06/08/1992
3×3 EYES Vol. 13;7/10;"Un monstre s'en prend à une université et tue toutes les ""Maria"" c'est l'occasion pour Yakumo de revoir Meishin et de découvrir que Maria est le nom de la fille du mage Maduray, le mage tant recherché. Au terme d'un long combat, Yakumo se débarrasse du monstre et il retrouve par le biais de Maria le mage, un homme sombre qui tient une salle de paris sur des combats à mort, et qui semble peu se préoccuper de lui. Pire, il semble ne rien savoir !";; Pika (Shonen); 08/01/1993
3×3 EYES Vol. 14;7/10;Après avoir pris un sérieux choc sur le crâne, le mage Maduray retrouve la mémoire. Entouré d'innocents, le mage Maduray laisse Spazugu s'échapper avec Garuga venu le chercher. Le mage sous la pression de Paï accepte d'aider le jeune Wu à devenir plus fort. Elle lui prépare donc un simulateur. Il emmène Paï avec lui pour lui faire subir l'initiation du Kayanwan penta commandeur de l'eau, une source de pouvoir immense qui peut transformer en monstre hideux. Yakumo doit aller au bout du simulateur s'il veut avoir un chance de retrouver Paï.;; Pika (Shonen); 08/05/1993
