Title;Description;Origine;Type;Genres;Thèmes;Scénariste;Dessinateur
100% no Kimi e;Yuzu Horiuchi vient tout juste d'être transférée dans une école mixte. N'ayant été que dans des écoles pour filles, elle se sent plutôt mal à l'aise lors de son premier jour de classe. Elle va cependant faire la rencontre d'un garçon de sa classe qui aime les chiens, tout comme elle et va alors commencer un nouveau voyage sentimental.;Japon - 2004;Shojo;Comédie - Romance - School Life;;Suetsugu Yuki;Suetsugu Yuki
100% Pascal-sensei;L'histoire se concentre sur un professeur des écoles. Stupide à souhait, il ne sait même pas écrire son prénom et passe son temps à s'amuser et faire ce dont il a envie. De plus, selon toute vraisemblance, celui-ci n'est même pas humain !;Japon - 2015;Shonen;Comédie - School Life;;Nagai Yuji;Nagai Yuji
100% Perfect Girl;Jay est une jeune lycéenne coréenne qui rêve de devenir une grande artiste. Jart est le prince d'un Royaume européen, Roinne. Rien n'aurait pu les réunir et, pourtant, un jour, ils se croisent. Pour Jart, Jay est la fille 100% parfaite. Fou amoureux d'elle, il fait tout son possible pour la retrouver. Mais Jay n'éprouve pas les mêmes sentiments que le prince et pense qu'il est gentil avec elle uniquement parce qu'ils sont amis. Pour prouver son amour et son dévouement pour elle, il prendra donc une grande décision : celle de l'épouser.;Corée du Sud - 2007;Manhwa;Action - Drame - Mature - Romance - Slice of Life;;Wann;Wann
1000 Trappes Romantiques;Le jour du mariage, Luo Xiao Ka a par hasard découvert l'amour adultère entre son mari et son amie intime et demoiselle d'honneur. Face à la double trahison, elle a nettement choisi de divorcer pour s'éloigner de ce salaud et d'être résolue à concentrer son attention sur sa carrière désormais. Mais c'est le sort qui l'a faite tomber dans les pièges amoureux de Xiao Nan. Luo Xiao Ka, comment se dégager-elle des 1000 trappes romantiques cachées dans l'essence de fierté ?;Chine - 2019;Manhua;;;;
1000 Yen Hero;Les kaijūs attaquent ! Mais heureusement pour le peuple japonais, les héros sont là pour les protéger avec des pouvoirs qui tournent à un taux de yen par seconde. Pour Hiasa Sen, un étudiant ordinaire du secondaire qui vit seul avec sa petite sœur, il y a des choses beaucoup plus importantes à craindre, comme subvenir aux besoins de lui et de sa petite sœur. Cependant, lorsque le danger approche, il a son propre pouvoir secret qui peut être plus problématique que ça...;Japon - 2017;Shonen;Action - Comédie - Drame - Fantastique - Slice of Life - Surnaturel;Combats - Monstres - Super-héros;Yakiimo Handsome Saito;Yakiimo Handsome Saito
1001 Knights;Naito et Yuta sont des jumeaux au caractères bien distincts. Le premier est assidu et fin tandis que le second est athlétique et se bagarre souvent. Malgré ces différences ils entretiennent une relation étroite. Cependant, un jour leur père disparaît, de ce fait ils partent à sa recherche et se rendent à Dubaï. Là bas, un étrange marchant ambulant les expédient dans le monde des Milles et Une Nuits.;Japon - 2012;Shojo;Action - Fantastique - Romance - Shônen-aï;;Sugisaki Yukiru;Sugisaki Yukiru
101 Façons de la séduire;Styliste de lingerie, la voilà embarquée dans un rendez-vous arrangé par l'un de ses supérieurs. Non seulement son prétendant arrive en retard et ne s'excuse pas, mais en plus : il semble être un vrai dragueur ! Non mais oh ! Ravie de s'échapper le plus tôt possible, elle pensait ne jamais le revoir. Sauf que devinez qui est le photographe choisi pour la promotion de sa prochaine collection ? En plus, il lui assure qu'ils se connaissent déjà, et semble décidé à la faire craquer par tous les moyens...;Corée du Sud - 2020;Manhwa;;;;Team Black
1031 Wan Sheng Jie;Dans le monde moderne, les humains, êtres célestes et créatures démoniaques coexistent de manière harmonieuse. Neil Bowman est un démon passionné par le monde des humains. Déterminé à poursuivre ses rêves, il décide de partir de chez lui afin de se rendre en Chine.  Il se retrouve alors en colocation avec un vampire, une momie, un ange et bientôt un loup-garou.;Chine - 2016;Manhua;Comédie - Slice of Life;Anges - Démons - Lycanthropes - Monstres - Quotidien - Vampires;Ling Zi Huan You Chao;Ling Zi Huan You Chao
103ème escadrille de chasse;Le Sous-lieutenant Matsumoto, pilote de chasse de l'Armée impériale japonaise, affronte les forces aériennes alliées à bord de son Kawasaki Ki-61 «Hien» (Tony) au-dessus des Solomons, des Nouvelle-Guinée et des Philippines. Face aux adversaires, toujours supérieurs en nombre, il survit aux combats acharnés grâce à son intelligence ainsi qu'à l'aide du chef d'escadrille Ozawa et de son mécanicien Hino. Sa dernière mission sera d'escorter les avions Kamikaze au large des Philippines...;Japon - 1998;Seinen;Drame - Historique;Aviation - Guerre;Takizawa Seiho;Takizawa Seiho
108myeongui Geunyeodeul;Dessa est une sorcière qui a construit un empire pour l'humain qu'elle aime, sans pourtant avoir confiance en lui. Avant de prendre la décision de sa vie, une situation où elle doit renoncer à ses pouvoirs de sorcière et devenir une humaine ordinaire afin de donner naissance à un enfant impérial, elle propose un pari pour tester l'empereur Hatwan, qui lui jure son amour éternel. Hatwan accepte cela et invite 107 femmes aux visages ressemblant à Dessa au palais impérial avec la promesse qu'il épousera celle qu'il choisira, peu importe l'élue.  Pendant ce temps, Arit, une jeune sorcière qui admire Dessa, se faufile dans le palais impérial pour empêcher Dessa de devenir humaine, interférant ainsi avec le pari entre son idole et l'empereur. 108 femmes et un chaos imprédictible. Qui accomplira son objectif ?;Corée du Sud - 2022;Manhwa;Fantasy - Romance;Magie - Royauté - Sorcières;;Gosong
10th;Také est souvent absent à cause de son asthme. Un jour, lors d'une crise, un élève de sa classe, Macchan, vient à son secours. À partir de là, Také sympathise avec lui, et c'est tout naturellement qu'il commence à être attiré par lui. Par ailleurs, l'amie d'enfance de Také, Umeko, tombe aussi amoureuse de Macchan en découvrant sa gentillesse...  Comment va se passer cette histoire d'amour triangulaire entre deux amis d'enfance et le garçon le plus populaire de la classe ?!;Japon - 2018;Shonen;Romance - School Life;Amitié - Amour - Triangle amoureux;Inari Yuko;Inari Yuko
11 of Me;À la surprise de Gi Beom, la calculatrice mécanique qu'il a achetée en travaillant dans un dépotoir s'avère être une machine à remonter le temps ! Avec la machine à remonter le temps, il part à la recherche et à la rencontre de son passé. Actuellement, les 11 versions de Gi Beom vivent ensemble en paix, mais des problèmes inattendus se matérialisent lorsque Gi Beom interagit avec des personnes extérieures à son cercle...;Corée du Sud - 2020;Manhwa;Slice of Life - Surnaturel;;Go Ji Ae;Yeong Jae Yeong
11 Si 59 Bunui Dangsinege;Le fait qu'il allait pleuvoir et que des travaux imprévus se trouveraient sur sa route le matin, Lee Mok Hwa le savait. Ses prévisions sont d'une exactitude déconcertante, pour cause : il est bloqué dans une boucle temporelle le jour du 24 décembre. Seul Choi Gyun, son ancien ami d'enfance de qui il était très proche, semble être au courant mais dès que Mok Hwa tente de l'approcher il s'enfuit. Se pourrait-il qu'il ait un lien avec cette boucle temporelle ?;Corée du Sud - 2018;Manhwa;Drame - Romance - School Life - Shônen-aï - Surnaturel;Amour - Ecole - Homosexualité - Voyage temporel;BOPUL;BOPUL
11-gatsu demo Hanabi;11-gatsu demo Hanabi est un recueil de plusieurs histoires courtes mettant en scène différentes romances entre adolescents.;Japon - 1981;Seinen;Drame - Histoires courtes - Romance;Adolescence - Amour;Saimon Fumi;Saimon Fumi
1122;1122 (« Ii Fuufu ») suit le quotidien d'un couple qui célèbre ses sept ans de mariage et qui traverse une petite crise : en effet, leur libido est légèrement en berne...;Japon - 2016;Seinen;Comédie - Romance - Slice of Life;Amour - Quotidien - Sexe;Watanabe Peco;Watanabe Peco
